Timestamp;From;To
2014-04-01 10:44:44;Manon@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 10:47:41;Anouk@DutchFlowers.nl;Quincy@DutchFlowers.nl
2014-04-01 10:50:53;Helen@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-01 10:53:18;Manon@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-01 10:53:18;Britt@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 10:58:07;Grace@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-01 10:58:09;Fiona@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 10:58:29;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 10:59:47;Britt@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-01 11:04:07;Peter@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-01 11:07:08;Anouk@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-01 11:07:20;Manon@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-01 11:11:28;Leontien@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 11:16:26;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 11:19:17;Willem@DutchFlowers.nl;Iris@DutchFlowers.nl
2014-04-01 11:20:41;Peter@DutchFlowers.nl;Xander@DutchFlowers.nl
2014-04-01 11:24:27;Steve@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-01 11:25:56;Dolores@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-01 11:25:57;Jantien@DutchFlowers.nl;Quincy@DutchFlowers.nl
2014-04-01 11:25:58;Anouk@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-01 11:27:38;Grace@DutchFlowers.nl;Xander@DutchFlowers.nl
2014-04-01 11:28:57;Claudia@DutchFlowers.nl;Ronald@DutchFlowers.nl
2014-04-01 11:32:00;Xander@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 11:35:25;Quincy@DutchFlowers.nl;Ton@DutchFlowers.nl
2014-04-01 11:39:47;Manon@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 11:43:48;Victor@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 11:46:05;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 11:46:38;Victor@DutchFlowers.nl;Otto@DutchFlowers.nl
2014-04-01 11:51:03;Ellen@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 11:51:20;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 11:53:27;Jantien@DutchFlowers.nl;Willem@DutchFlowers.nl
2014-04-01 11:57:40;Grace@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-01 11:59:23;Zach@DutchFlowers.nl;Ton@DutchFlowers.nl
2014-04-01 12:02:16;Willem@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-01 12:03:02;Ellen@DutchFlowers.nl;Iris@DutchFlowers.nl
2014-04-01 12:05:32;Helen@DutchFlowers.nl;Victor@DutchFlowers.nl
2014-04-01 12:09:43;Dolores@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-01 12:13:21;Quincy@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 12:18:12;Yorik@DutchFlowers.nl;Ton@DutchFlowers.nl
2014-04-01 12:19:27;Peter@DutchFlowers.nl;Victor@DutchFlowers.nl
2014-04-01 12:20:46;Quincy@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-01 12:22:31;Helen@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 12:25:08;Jantien@DutchFlowers.nl;Ton@DutchFlowers.nl
2014-04-01 12:27:40;Jantien@DutchFlowers.nl;Ton@DutchFlowers.nl
2014-04-01 12:28:50;Nico@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-01 12:32:48;Britt@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 12:33:46;Iris@DutchFlowers.nl;Yorik@DutchFlowers.nl
2014-04-01 12:35:25;Victor@DutchFlowers.nl;Willem@DutchFlowers.nl
2014-04-01 12:36:58;Jantien@DutchFlowers.nl;Yorik@DutchFlowers.nl
2014-04-01 12:41:07;Grace@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-01 12:43:37;Leontien@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 12:46:14;Ellen@DutchFlowers.nl;Iris@DutchFlowers.nl
2014-04-01 12:46:20;Grace@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-01 12:49:51;Koosje@DutchFlowers.nl;Xander@DutchFlowers.nl
2014-04-01 12:53:47;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 12:56:55;Helen@DutchFlowers.nl;Yorik@DutchFlowers.nl
2014-04-01 13:01:43;Britt@DutchFlowers.nl;Xander@DutchFlowers.nl
2014-04-01 13:02:41;Ton@DutchFlowers.nl;Xander@DutchFlowers.nl
2014-04-01 13:05:57;Iris@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 13:07:10;Britt@DutchFlowers.nl;Ton@DutchFlowers.nl
2014-04-01 13:11:29;Willem@DutchFlowers.nl;Xander@DutchFlowers.nl
2014-04-01 13:14:14;Jantien@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-01 13:14:42;Grace@DutchFlowers.nl;Xander@DutchFlowers.nl
2014-04-01 13:16:13;Claudia@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-01 13:20:11;Grace@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-01 13:20:46;Otto@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 13:23:31;Manon@DutchFlowers.nl;Iris@DutchFlowers.nl
2014-04-01 13:26:21;Ellen@DutchFlowers.nl;Nico@DutchFlowers.nl
2014-04-01 13:29:51;Jantien@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-01 13:34:21;Willem@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-01 13:35:06;Willem@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-01 13:38:36;Ronald@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-01 13:41:36;Manon@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-01 13:45:47;Dolores@DutchFlowers.nl;Xander@DutchFlowers.nl
2014-04-01 13:46:26;Ellen@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-01 13:46:48;Ellen@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-01 13:49:39;Yorik@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 13:50:55;Peter@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-01 13:53:31;Britt@DutchFlowers.nl;Nico@DutchFlowers.nl
2014-04-01 13:54:47;Willem@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 13:59:22;Dolores@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 14:03:01;Leontien@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 14:04:15;Jantien@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-01 14:07:02;Helen@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-01 14:08:18;Ronald@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-01 14:10:52;Ellen@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 14:11:04;Helen@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 14:13:31;Helen@DutchFlowers.nl;Steve@DutchFlowers.nl
2014-04-01 14:13:32;Britt@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 14:16:52;Ronald@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-01 14:20:29;Jantien@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 14:24:57;Jantien@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 14:26:40;Helen@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-01 14:27:27;Grace@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-01 14:31:41;Jantien@DutchFlowers.nl;Zach@DutchFlowers.nl
2014-04-01 14:36:13;Fiona@DutchFlowers.nl;Ton@DutchFlowers.nl
2014-04-01 14:39:29;Fiona@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-01 14:42:50;Grace@DutchFlowers.nl;Yorik@DutchFlowers.nl
2014-04-01 14:45:11;Claudia@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 14:46:32;Ursul@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 14:51:27;Anouk@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-01 14:54:27;Koosje@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 14:56:46;Ursul@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-01 14:57:40;Helen@DutchFlowers.nl;Otto@DutchFlowers.nl
2014-04-01 15:00:40;Koosje@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-01 15:01:33;Iris@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 15:04:42;Jantien@DutchFlowers.nl;Nico@DutchFlowers.nl
2014-04-01 15:08:47;Ellen@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-01 15:13:37;Helen@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-01 15:15:24;Ellen@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-01 15:20:10;Willem@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-01 15:20:52;Manon@DutchFlowers.nl;Ronald@DutchFlowers.nl
2014-04-01 15:21:41;Leontien@DutchFlowers.nl;Zach@DutchFlowers.nl
2014-04-01 15:23:10;Xander@DutchFlowers.nl;Willem@DutchFlowers.nl
2014-04-01 15:28:10;Ellen@DutchFlowers.nl;Otto@DutchFlowers.nl
2014-04-01 15:30:43;Dolores@DutchFlowers.nl;Koosje@DutchFlowers.nl
2014-04-01 15:33:59;Dolores@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-01 15:36:34;Grace@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-01 15:38:13;Anouk@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 15:42:27;Claudia@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-01 15:43:29;Grace@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-01 15:48:16;Manon@DutchFlowers.nl;Victor@DutchFlowers.nl
2014-04-01 15:49:13;Nico@DutchFlowers.nl;Otto@DutchFlowers.nl
2014-04-01 15:51:17;Quincy@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 15:55:39;Fiona@DutchFlowers.nl;Nico@DutchFlowers.nl
2014-04-01 16:00:12;Koosje@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 16:02:16;Xander@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-01 16:05:01;Manon@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-01 16:05:02;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 16:08:12;Helen@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-01 16:11:45;Ronald@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-01 16:12:25;Yorik@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-01 16:16:25;Nico@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 16:20:28;Victor@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 16:24:35;Otto@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-01 16:26:59;Dolores@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 16:31:10;Yorik@DutchFlowers.nl;Ronald@DutchFlowers.nl
2014-04-01 16:32:41;Britt@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-01 16:32:43;Xander@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 16:35:08;Quincy@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-01 16:39:17;Helen@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-01 16:41:16;Leontien@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-01 16:43:15;Victor@DutchFlowers.nl;Xander@DutchFlowers.nl
2014-04-01 16:48:15;Claudia@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-01 16:49:12;Koosje@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-01 16:52:49;Koosje@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 16:55:10;Iris@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-01 16:59:03;Ursul@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-01 17:02:12;Dolores@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 17:04:31;Quincy@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-01 17:07:01;Grace@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 17:07:36;Fiona@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 17:09:11;Britt@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 17:11:00;Helen@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 17:13:52;Dolores@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-01 17:17:35;Koosje@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-02 09:06:48;Peter@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-02 09:08:17;Ellen@DutchFlowers.nl;Ronald@DutchFlowers.nl
2014-04-02 09:11:49;Fiona@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-02 09:12:45;Manon@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-02 09:14:56;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-02 09:16:18;Otto@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-02 09:19:32;Fiona@DutchFlowers.nl;Ton@DutchFlowers.nl
2014-04-02 09:24:28;Leontien@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-02 09:28:23;Willem@DutchFlowers.nl;Victor@DutchFlowers.nl
2014-04-02 09:32:19;Grace@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-02 09:33:50;Grace@DutchFlowers.nl;Ton@DutchFlowers.nl
2014-04-02 09:38:17;Grace@DutchFlowers.nl;Quincy@DutchFlowers.nl
2014-04-02 09:39:59;Britt@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-02 09:41:42;Jantien@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-02 09:43:14;Xander@DutchFlowers.nl;Iris@DutchFlowers.nl
2014-04-02 09:47:18;Britt@DutchFlowers.nl;Otto@DutchFlowers.nl
2014-04-02 09:52:18;Iris@DutchFlowers.nl;Yorik@DutchFlowers.nl
2014-04-02 09:54:48;Leontien@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-02 09:56:12;Ellen@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-02 09:56:42;Jantien@DutchFlowers.nl;Xander@DutchFlowers.nl
2014-04-02 10:01:14;Jantien@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-02 10:02:52;Yorik@DutchFlowers.nl;Zach@DutchFlowers.nl
2014-04-02 10:06:27;Steve@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-02 10:07:49;Steve@DutchFlowers.nl;Koosje@DutchFlowers.nl
2014-04-02 10:09:44;Jantien@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-02 10:12:36;Koosje@DutchFlowers.nl;Yorik@DutchFlowers.nl
2014-04-02 10:14:12;Helen@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-02 10:15:50;Otto@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-02 10:19:38;Anouk@DutchFlowers.nl;Otto@DutchFlowers.nl
2014-04-02 10:20:54;Jantien@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-02 10:24:12;Grace@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-02 10:25:54;Ursul@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-02 10:28:20;Ellen@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-02 10:30:07;Koosje@DutchFlowers.nl;Quincy@DutchFlowers.nl
2014-04-02 10:31:21;Willem@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-02 10:36:19;Ellen@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-02 10:40:56;Helen@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-02 10:45:25;Leontien@DutchFlowers.nl;Zach@DutchFlowers.nl
2014-04-02 10:46:41;Anouk@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-02 10:47:09;Anouk@DutchFlowers.nl;Zach@DutchFlowers.nl
2014-04-02 10:51:45;Zach@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-02 10:54:49;Helen@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-02 10:56:18;Zach@DutchFlowers.nl;Nico@DutchFlowers.nl
2014-04-02 10:57:42;Peter@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-02 10:58:58;Helen@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-02 11:02:12;Leontien@DutchFlowers.nl;Iris@DutchFlowers.nl
2014-04-02 11:05:33;Ton@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-02 11:09:52;Britt@DutchFlowers.nl;Steve@DutchFlowers.nl
2014-04-02 11:11:11;Helen@DutchFlowers.nl;Ton@DutchFlowers.nl
2014-04-02 11:13:55;Dolores@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-02 11:17:58;Quincy@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-02 11:20:37;Britt@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-02 11:21:43;Yorik@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-02 11:23:47;Victor@DutchFlowers.nl;Willem@DutchFlowers.nl
2014-04-02 11:24:02;Yorik@DutchFlowers.nl;Iris@DutchFlowers.nl
2014-04-02 11:25:58;Xander@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-02 11:28:32;Ellen@DutchFlowers.nl;Victor@DutchFlowers.nl
2014-04-02 11:31:50;Dolores@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-02 11:32:12;Peter@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-02 11:37:11;Leontien@DutchFlowers.nl;Iris@DutchFlowers.nl
2014-04-02 11:39:06;Otto@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-02 11:42:36;Grace@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-02 11:46:19;Ursul@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-02 11:49:23;Xander@DutchFlowers.nl;Yorik@DutchFlowers.nl
2014-04-02 11:53:59;Helen@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-02 11:57:55;Claudia@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-02 12:01:17;Helen@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-02 12:04:42;Nico@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-02 12:08:56;Koosje@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-02 12:11:37;Xander@DutchFlowers.nl;Steve@DutchFlowers.nl
2014-04-02 12:13:26;Ellen@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-02 12:17:08;Willem@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-02 12:17:58;Xander@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-02 12:19:05;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-02 12:21:37;Otto@DutchFlowers.nl;Ronald@DutchFlowers.nl
2014-04-02 12:23:09;Leontien@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-02 12:24:41;Iris@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-02 12:26:49;Nico@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-02 12:29:11;Xander@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-02 12:34:10;Otto@DutchFlowers.nl;Zach@DutchFlowers.nl
2014-04-02 12:35:34;Helen@DutchFlowers.nl;Otto@DutchFlowers.nl
2014-04-02 12:37:57;Manon@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-02 12:42:26;Dolores@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-02 12:44:26;Leontien@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-02 12:46:14;Otto@DutchFlowers.nl;Ronald@DutchFlowers.nl
2014-04-02 12:49:17;Ellen@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-02 12:50:44;Iris@DutchFlowers.nl;Otto@DutchFlowers.nl
2014-04-02 12:50:47;Manon@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-02 12:53:03;Koosje@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-02 12:53:04;Ellen@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-02 12:55:37;Ronald@DutchFlowers.nl;Leontien@DutchFlowers.nl
2014-04-02 12:59:48;Grace@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-02 13:04:06;Ursul@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-02 13:07:15;Victor@DutchFlowers.nl;Iris@DutchFlowers.nl
2014-04-02 13:10:41;Peter@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-02 13:11:27;Willem@DutchFlowers.nl;Zach@DutchFlowers.nl
2014-04-02 13:11:52;Fiona@DutchFlowers.nl;Ronald@DutchFlowers.nl
2014-04-02 13:12:57;Britt@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-02 13:13:02;Zach@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-02 13:16:30;Fiona@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-02 13:17:51;Yorik@DutchFlowers.nl;Zach@DutchFlowers.nl
2014-04-02 13:19:46;Dolores@DutchFlowers.nl;Otto@DutchFlowers.nl
2014-04-02 13:22:32;Peter@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-02 13:22:54;Anouk@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-02 13:25:55;Manon@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-02 13:29:02;Willem@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-02 13:31:38;Helen@DutchFlowers.nl;Yorik@DutchFlowers.nl
2014-04-02 13:36:11;Quincy@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-02 13:40:37;Ursul@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-02 13:41:44;Steve@DutchFlowers.nl;Quincy@DutchFlowers.nl
2014-04-02 13:43:57;Ellen@DutchFlowers.nl;Steve@DutchFlowers.nl
2014-04-02 13:48:37;Grace@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-02 13:52:30;Zach@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-02 13:53:58;Fiona@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-02 13:54:09;Yorik@DutchFlowers.nl;Iris@DutchFlowers.nl
2014-04-02 13:56:54;Ronald@DutchFlowers.nl;Iris@DutchFlowers.nl
2014-04-02 13:58:03;Iris@DutchFlowers.nl;Helen@DutchFlowers.nl
